Hour,ALS,BLS,Other,Total,ALS_Pct,BLS_Pct
0,124,127,102,353,35.1,36.0
1,119,102,95,316,37.7,32.3
2,97,118,89,304,31.9,38.8
3,77,118,72,267,28.8,44.2
4,94,110,83,287,32.8,38.3
5,95,109,85,289,32.9,37.7
6,145,131,101,377,38.5,34.7
7,190,181,165,536,35.4,33.8
8,278,211,147,636,43.7,33.2
9,285,260,246,791,36.0,32.9
10,296,239,251,786,37.7,30.4
11,331,240,230,801,41.3,30.0
12,280,264,214,758,36.9,34.8
13,271,274,245,790,34.3,34.7
14,259,239,234,732,35.4,32.7
15,244,257,218,719,33.9,35.7
16,272,264,257,793,34.3,33.3
17,288,243,237,768,37.5,31.6
18,257,236,230,723,35.5,32.6
19,259,262,205,726,35.7,36.1
20,238,229,200,667,35.7,34.3
21,174,187,160,521,33.4,35.9
22,155,167,148,470,33.0,35.5
23,124,171,114,409,30.3,41.8
