Responding_Dept,Destination_BG,Count,BG_Population,BG_Lat,BG_Lon
Watertown,550551003022,358,1478,43.1932254,-88.7294879
Watertown,550551009002,7,826,43.0001653,-88.7531516
Watertown,550551007001,3,2840,43.0743749,-88.7824506
Watertown,550551017022,2,2054,43.1287515,-88.6208
Fort Atkinson,550551013004,104,729,42.9315352,-88.8415304
Fort Atkinson,550551011001,2,1655,42.9974139,-88.79208
Fort Atkinson,550551016001,1,3283,42.8513796,-88.7458834
Whitewater,550551016001,235,3283,42.8513796,-88.7458834
Whitewater,550551016004,2,1133,42.8662298,-88.557293
Whitewater,550551007003,1,1341,43.0520378,-88.7079845
Whitewater,550551012011,1,1211,42.8841111,-88.8942999
Whitewater,550551009002,1,826,43.0001653,-88.7531516
Edgerton,550551012011,218,1211,42.8841111,-88.8942999
Edgerton,550551012012,209,1066,42.9115037,-88.9743684
Edgerton,550551007003,5,1341,43.0520378,-88.7079845
Edgerton,550551008003,5,1724,42.9977515,-88.5922758
Edgerton,550551005002,2,1912,43.0808779,-88.8747049
Jefferson,550551011001,2,1655,42.9974139,-88.79208
Johnson Creek,550551007001,31,2840,43.0743749,-88.7824506
Johnson Creek,550551003022,7,1478,43.1932254,-88.7294879
Johnson Creek,550551005001,2,1413,43.0892976,-88.9111153
Johnson Creek,550551011001,1,1655,42.9974139,-88.79208
Johnson Creek,550551017011,1,1434,43.1210701,-88.7255345
Waterloo,550551004002,56,1917,43.1755613,-88.9796136
Waterloo,550551012011,4,1211,42.8841111,-88.8942999
Waterloo,550551003022,1,1478,43.1932254,-88.7294879
Ixonia,550551003022,11,1478,43.1932254,-88.7294879
Ixonia,550551017022,10,2054,43.1287515,-88.6208
Ixonia,550551017021,8,1173,43.136532,-88.5435938
Palmyra,550551016004,5,1133,42.8662298,-88.557293
Cambridge,550551006021,2,1487,43.014263,-88.9898936
