K,Coverage_14min_Pct,Coverage_10min_Pct,Coverage_8min_Pct,Avg_RT_Min,Max_RT_Min,Marginal_Gain_Pct,Ambulances_Replaced,Ambulances_Saved,Reduction_Pct,Stations
1,35.7,9.2,2.6,21.1,46.36,35.7,10,9,90.0,"(43.012,-88.842)"
2,54.8,26.6,20.1,15.43,46.36,19.1,10,8,80.0,"(43.012,-88.842) | (43.192,-88.722)"
3,65.3,35.2,25.3,13.31,30.8,10.5,10,7,70.0,"(42.892,-88.782) | (43.012,-88.842) | (43.192,-88.722)"
4,73.3,36.0,25.3,11.96,30.8,8.0,10,6,60.0,"(42.892,-88.782) | (43.012,-88.842) | (43.012,-88.662) | (43.192,-88.722)"
5,79.2,43.5,33.2,10.96,30.8,5.9,10,5,50.0,"(42.892,-88.782) | (43.012,-88.902) | (43.012,-88.782) | (43.012,-88.662) | (43.192,-88.722)"
6,82.8,55.5,44.8,10.25,30.8,3.6,10,4,40.0,"(42.892,-88.782) | (42.952,-88.842) | (43.012,-88.902) | (43.012,-88.782) | (43.012,-88.662) | (43.192,-88.722)"
7,85.6,55.5,44.8,9.84,29.76,2.8,10,3,30.0,"(42.892,-88.782) | (42.892,-88.542) | (42.952,-88.842) | (43.012,-88.902) | (43.012,-88.782) | (43.012,-88.662) | (43.192,-88.722)"
8,88.0,51.8,33.4,10.21,25.92,2.4,10,2,20.0,"(42.892,-88.782) | (42.892,-88.542) | (42.952,-88.842) | (43.012,-88.902) | (43.012,-88.782) | (43.012,-88.662) | (43.132,-88.542) | (43.192,-88.782)"
9,90.3,51.8,33.4,9.92,23.68,2.3,10,1,10.0,"(42.892,-88.782) | (42.892,-88.542) | (42.952,-88.842) | (43.012,-88.902) | (43.012,-88.782) | (43.012,-88.662) | (43.132,-88.542) | (43.192,-88.902) | (43.192,-88.782)"
10,92.2,56.0,37.6,9.51,23.68,1.9,10,0,0.0,"(42.892,-88.782) | (42.892,-88.542) | (42.952,-88.842) | (42.952,-88.602) | (43.012,-88.902) | (43.012,-88.782) | (43.012,-88.662) | (43.132,-88.542) | (43.192,-88.962) | (43.192,-88.782)"
