Dept,EMS_Calls_2024,Secondary_Events,Pct_Concurrent,Max_Concurrent,Mean_Concurrent,Ambulances,All_Busy_Events,Pct_All_Busy
Edgerton,2035,768,37.7,8,0.47,2,161,7.9
Watertown,1947,656,33.7,8,0.42,3,16,0.8
Whitewater,1448,421,29.1,6,0.34,2,63,4.4
Fort Atkinson,1621,209,12.9,3,0.14,3,1,0.1
Waterloo,403,93,23.1,3,0.27,2,12,3.0
Johnson Creek,454,59,13.0,4,0.15,2,7,1.5
Ixonia,260,32,12.3,3,0.14,1,32,12.3
Cambridge,64,4,6.2,1,0.06,0,64,100.0
Jefferson,91,2,2.2,1,0.02,5,0,0.0
Palmyra,32,0,0.0,0,0.0,1,0,0.0
