Dept,Ambulances,Calls_Per_Day,Mean_Duration_Min,Lambda_AllDay,Lambda_Peak_9_19,Mu,P_Wait_AllDay,P_Wait_Peak
Watertown,3,2.7,43.6,0.1132,0.146,1.3748,0.0001,0.0002
Fort Atkinson,3,4.4,20.7,0.1832,0.2405,2.9004,0.0,0.0001
Whitewater,0,,,,,,,
Edgerton,1,0.1,118.8,0.0029,0.0019,0.5052,0.0056,0.0038
Jefferson,3,0.2,23.2,0.0104,0.0173,2.5865,0.0,0.0
Johnson Creek,2,1.2,59.4,0.0518,0.0677,1.0096,0.0013,0.0022
Waterloo,2,1.1,88.8,0.0455,0.0668,0.6759,0.0022,0.0047
Ixonia,1,0.5,69.7,0.0196,0.026,0.8609,0.0228,0.0302
Palmyra,1,0.1,91.8,0.0037,0.0055,0.6533,0.0056,0.0084
Cambridge,0,,,,,,,
