Department,EMS_Calls_CY2024,Ambulances,Calls_Per_Ambulance,Pct_Primary,Pct_Secondary,Primary_Calls,Secondary_Calls,Max_Concurrent,Mean_Concurrent,Secondary_Events_Observed,All_Busy_Events,Pct_All_Busy,Secondary_Pct_Imputed,Imputation_Source
Watertown,2012,3,670.7,80.5,19.5,1620,392,2.0,0.22,193.0,0.0,0.0,False,Direct from NFIRS incident data
Fort Atkinson,1616,3,538.7,87.5,12.5,1414,202,3.0,0.13,201.0,1.0,0.1,False,Direct from NFIRS incident data
Jefferson,1457,3,485.7,97.8,2.2,1425,32,1.0,0.02,2.0,0.0,0.0,False,Direct from NFIRS incident data
Johnson Creek,1090,2,545.0,87.0,13.0,948,142,4.0,0.15,59.0,7.0,1.5,False,Direct from NFIRS incident data
Waterloo,520,2,260.0,77.2,22.8,401,119,3.0,0.27,91.0,12.0,3.0,False,Direct from NFIRS incident data
Lake Mills,518,0,,87.25,12.75,452,66,,,,,,True,County median (12.8%) of 6 credible depts
Ixonia,338,1,338.0,87.8,12.2,297,41,2.0,0.13,21.0,21.0,12.2,False,Direct from NFIRS incident data
Edgerton,289,1,289.0,87.25,12.75,252,37,0.0,0.0,0.0,0.0,0.0,True,County median (12.8%) of 6 credible depts
Western Lakes,263,2,131.5,87.25,12.75,229,34,,,,,,True,County median (12.8%) of 6 credible depts
Cambridge,197,0,,87.25,12.75,172,25,1.0,0.06,4.0,64.0,100.0,True,County median (12.8%) of 6 credible depts
Whitewater,64,1,64.0,87.25,12.75,56,8,0.0,0.0,0.0,1.0,100.0,True,County median (12.8%) of 6 credible depts
Palmyra,32,1,32.0,87.25,12.75,28,4,0.0,0.0,0.0,0.0,0.0,True,County median (12.8%) of 6 credible depts
COUNTY TOTAL,8396,19,441.9,86.87,13.13,7294,1102,,,,,,,Aggregated across 12 depts
