Percentile,Panel,Baseline (current),County K=3,County K=4,County K=5,County K=6
50,Full (P50-P99),6.0,5.9,5.9,5.06,5.9
60,Full (P50-P99),6.0,6.0,6.0,6.0,6.0
70,Full (P50-P99),7.0,7.0,7.0,7.0,7.0
75,Full (P50-P99),8.0,8.0,8.0,8.0,8.0
80,Full (P50-P99),8.0,9.0,9.0,9.0,9.0
85,Full (P50-P99),10.0,10.0,10.0,10.0,10.0
90,Full (P50-P99),11.0,12.0,12.0,11.2,11.2
92,Full (P50-P99),12.0,14.0,13.0,12.0,12.0
94,Full (P50-P99),13.0,15.0,15.0,14.0,14.0
95,Full (P50-P99),13.0,16.08,17.0,15.0,15.0
96,Full (P50-P99),14.0,17.1,17.1,16.08,16.0
97,Full (P50-P99),15.0,20.0,19.79,17.1,17.1
98,Full (P50-P99),16.0,26.04,22.87,19.79,17.85
99,Full (P50-P99),18.0,26.04,26.04,22.12,20.0
90,Tail zoom (P90-P99),11.0,12.0,12.0,11.2,11.2
91,Tail zoom (P90-P99),11.0,13.0,12.0,12.0,12.0
92,Tail zoom (P90-P99),12.0,14.0,13.0,12.0,12.0
93,Tail zoom (P90-P99),12.0,14.0,14.0,13.0,13.0
94,Tail zoom (P90-P99),13.0,15.0,15.0,14.0,14.0
95,Tail zoom (P90-P99),13.0,16.08,17.0,15.0,15.0
96,Tail zoom (P90-P99),14.0,17.1,17.1,16.08,16.0
97,Tail zoom (P90-P99),15.0,20.0,19.79,17.1,17.1
98,Tail zoom (P90-P99),16.0,26.04,22.87,19.79,17.85
99,Tail zoom (P90-P99),18.0,26.04,26.04,22.12,20.0
